País,Liga,Temporada,Data,Horário UK,Horário BR,Casa,Visitante,Gol Casa,Gol Fora,Árbitro,Falta Casa,Falta Fora,Cartão Amarelo Casa,Cartão Amarelo Fora,Cartão Vermelho Casa,Cartão Vermelho Fora,Min Vermelho Casa,Min Vermelho Fora,Teve Vermelho,Placar Pré 1º Vermelho,Placar Pós Ultimo Vermelho,Média odd Casa,Média odd Empate,Média odd Fora
Brazil,Serie A,2024,16/06/2024,22:30,18:30,Cuiaba,Fortaleza,5,0,Jefferson Ferreira de Moraes,9,6,1,3,0,2,-,45'+1 e 45'+3,Sim,3x0,5x0,3.18,2.87,2.53
Brazil,Serie A,2024,16/06/2024,22:30,18:30,Gremio,Botafogo RJ,1,2,Paulo Cesar Zanovelli da Silva,12,11,3,3,0,0,-,-,Não,-,-,3.48,3.15,2.19
Brazil,Serie A,2024,16/06/2024,22:30,18:30,Vasco,Cruzeiro,0,0,Rafael Rodrigo Klein,11,11,2,4,0,0,-,-,Não,-,-,2.78,03.07,2.67
Brazil,Serie A,2024,18/06/2024,00:30,20:30,Atletico-MG,Palmeiras,0,4,Rodrigo Jose Pereira de Lima,16,16,5,3,2,0,31' e 90'+8,-,Sim,0x1,0x4,2.63,03.07,2.81
Brazil,Serie A,2024,19/06/2024,23:00,19:00,Atletico GO,Criciuma,1,2,Alex Gomes Stefano,10,11,1,1,1,0,90'+9,-,Sim,1x2,1x2,1.67,3.71,5.22
Brazil,Serie A,2024,19/06/2024,23:00,19:00,Botafogo RJ,Athletico-PR,1,1,Ramon Abatti Abel,13,14,0,5,0,0,-,-,Não,-,-,1.98,3.26,04.04
Brazil,Serie A,2024,20/06/2024,00:00,20:00,Fortaleza,Gremio,1,0,Joao Vitor Gobi,15,7,3,4,0,1,-,44',Sim,1x0,1x0,1.89,3.39,4.28
Brazil,Serie A,2024,20/06/2024,00:00,20:00,Juventude,Vasco,2,0,Paulo Cesar Zanovelli da Silva,13,18,2,3,0,1,-,90'+6,Sim,1x0,2x0,2.14,03.06,3.78
Brazil,Serie A,2024,20/06/2024,00:00,20:00,Sao Paulo,Cuiaba,0,1,Gustavo Ervino Bauermann,5,16,2,3,0,0,-,-,Não,-,-,1.53,3.77,7.1
Brazil,Serie A,2024,20/06/2024,01:30,21:30,Cruzeiro,Fluminense,2,0,Matheus Delgado Candançan,16,11,3,2,0,0,-,-,Não,-,-,1.75,3.57,4.78
Brazil,Serie A,2024,20/06/2024,01:30,21:30,Internacional,Corinthians,1,0,Wagner do Nascimento Magalhaes,17,13,1,2,0,0,-,-,Não,-,-,2.2,03.09,3.54
Brazil,Serie A,2024,20/06/2024,22:30,18:30,Vitoria,Atletico-MG,4,2,Marcelo de Lima Henrique,15,13,2,2,0,0,-,-,Não,-,-,2.91,2.9,2.7
Brazil,Serie A,2024,21/06/2024,00:00,20:00,Flamengo RJ,Bahia,2,1,Braulio Da Silva Machado,8,10,1,1,0,0,-,-,Não,-,-,1.6,3.96,5.38
Brazil,Serie A,2024,21/06/2024,01:30,21:30,Palmeiras,Bragantino,2,1,Anderson Daronco,10,9,0,2,0,0,-,-,Não,-,-,1.71,3.67,4.9
Brazil,Serie A,2024,22/06/2024,20:00,16:00,Criciuma,Botafogo RJ,2,1,Luiz Flavio de Oliveira,16,14,4,3,0,0,-,-,Não,-,-,3,3.21,2.4
Brazil,Serie A,2024,22/06/2024,21:30,17:30,Gremio,Internacional,0,1,Ramon Abatti Abel,12,11,3,2,0,0,-,-,Não,-,-,03.03,2.97,2.55
Brazil,Serie A,2024,22/06/2024,22:30,18:30,Cuiaba,Atletico GO,0,0,Bruno Pereira Vasconcelos,9,12,3,1,0,0,-,-,Não,-,-,02.05,3.15,3.91
Brazil,Serie A,2024,23/06/2024,01:30,21:30,Vasco,Sao Paulo,4,1,Caio Max Augusto Vieira,13,14,3,1,0,0,-,-,Não,-,-,3.33,3.12,2.28
Brazil,Serie A,2024,23/06/2024,20:00,16:00,Athletico-PR,Corinthians,1,1,Felipe Fernandes de Lima,19,12,2,1,0,0,-,-,Não,-,-,1.64,3.89,5.2
Brazil,Serie A,2024,23/06/2024,20:00,16:00,Bahia,Cruzeiro,4,1,Paulo Belence Alves Dos Prazeres Filho,6,13,0,3,0,1,-,70',Sim,1x1,3x1,02.05,3.26,3.76
Brazil,Serie A,2024,23/06/2024,20:00,16:00,Fluminense,Flamengo RJ,0,1,Rafael Rodrigo Klein,16,13,4,3,1,0,88',-,Sim,0x1,0x1,4.44,3.7,1.77
Brazil,Serie A,2024,23/06/2024,22:30,18:30,Atletico-MG,Fortaleza,1,1,Flavio Rodrigues De Souza,15,17,3,2,0,0,-,-,Não,-,-,1.74,3.51,4.97
Brazil,Serie A,2024,23/06/2024,22:30,18:30,Bragantino,Vitoria,2,1,Jonathan Berkenstein Pinheiro,10,11,3,2,0,0,-,-,Não,-,-,1.51,04.04,6.48
Brazil,Serie A,2024,23/06/2024,22:30,18:30,Palmeiras,Juventude,3,1,Davi de Oliveira Lacerda,14,7,2,3,0,0,-,-,Não,-,-,1.39,4.49,8.17
Brazil,Serie A,2024,26/06/2024,23:00,19:00,Botafogo RJ,Bragantino,2,1,Gustavo Ervino Bauermann,13,12,2,3,0,0,-,-,Não,-,-,1.95,3.4,3.93
Brazil,Serie A,2024,26/06/2024,23:00,19:00,Cruzeiro,Athletico-PR,2,0,Davi de Oliveira Lacerda,8,6,2,2,0,0,-,-,Não,-,-,2.14,3.1,3.7
Brazil,Serie A,2024,27/06/2024,00:00,20:00,Atletico GO,Gremio,1,1,Bruno Arleu de Araujo,13,11,7,4,0,0,-,-,Não,-,-,2.19,3.15,3.48
Brazil,Serie A,2024,27/06/2024,00:00,20:00,Corinthians,Cuiaba,1,1,Fabio Augusto Santos Sa Junior,10,13,3,4,0,0,-,-,Não,-,-,2,3.19,04.08
Brazil,Serie A,2024,27/06/2024,00:00,20:00,Juventude,Flamengo RJ,2,1,Matheus Delgado Candançan,9,10,2,1,0,0,-,-,Não,-,-,4.55,3.31,1.86
Brazil,Serie A,2024,27/06/2024,01:30,21:30,Bahia,Vasco,2,1,Joao Vitor Gobi,14,15,0,5,0,1,-,59',Sim,1x1,2x1,1.59,3.93,5.59
Brazil,Serie A,2024,27/06/2024,01:30,21:30,Fortaleza,Palmeiras,3,0,Alex Gomes Stefano,17,11,2,2,0,0,-,-,Não,-,-,3.1,03.09,2.41
Brazil,Serie A,2024,27/06/2024,01:30,21:30,Internacional,Atletico-MG,1,2,Luiz Flavio de Oliveira,17,10,4,4,0,0,-,-,Não,-,-,2.13,03.05,3.8
Brazil,Serie A,2024,27/06/2024,23:00,19:00,Fluminense,Vitoria,0,1,Flavio Rodrigues De Souza,14,12,3,1,0,0,-,-,Não,-,-,1.86,3.47,4.26
Brazil,Serie A,2024,28/06/2024,00:00,20:00,Sao Paulo,Criciuma,2,1,Bruno Pereira Vasconcelos,10,22,2,4,0,0,-,-,Não,-,-,1.53,04.05,6.14
Brazil,Serie A,2024,29/06/2024,22:30,18:30,Cuiaba,Bragantino,1,1,Felipe Fernandes de Lima,13,16,4,2,1,0,90'+7,-,Sim,1x1,1x1,2.69,03.05,2.77
Brazil,Serie A,2024,29/06/2024,22:30,18:30,Vasco,Botafogo RJ,1,1,Ramon Abatti Abel,13,23,4,5,0,0,-,-,Não,-,-,03.01,03.09,2.47
Brazil,Serie A,2024,30/06/2024,15:00,11:00,Atletico-MG,Atletico GO,1,1,Jonathan Berkenstein Pinheiro,10,11,0,1,0,0,-,-,Não,-,-,02.01,3.38,3.73
Brazil,Serie A,2024,30/06/2024,20:00,16:00,Fortaleza,Juventude,2,1,Rodrigo Jose Pereira de Lima,22,16,2,0,0,0,-,-,Não,-,-,1.63,3.66,5.78
Brazil,Serie A,2024,30/06/2024,20:00,16:00,Gremio,Fluminense,1,0,Paulo Cesar Zanovelli da Silva,13,14,2,3,0,1,-,87',Sim,1x0,1x0,1.91,3.33,4.26
Brazil,Serie A,2024,30/06/2024,20:00,16:00,Sao Paulo,Bahia,3,1,Marcelo de Lima Henrique,15,9,4,1,0,0,-,-,Não,-,-,1.96,3.36,3.96
Brazil,Serie A,2024,30/06/2024,22:30,18:30,Criciuma,Internacional,1,1,Wagner do Nascimento Magalhaes,10,14,2,3,0,0,-,-,Não,-,-,2.79,2.96,2.74
